ImageNumber,ObjectNumber,Metadata_Date,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Xcoord,Metadata_Y,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,64,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,882.5289473684211,969.9631578947368,0,64
1,65,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1176.3819875776398,965.304347826087,0,65
1,66,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,182.23717948717947,972.1410256410256,0,66
1,67,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,129.045197740113,977.9209039548023,0,67
1,68,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,231.17813051146385,989.4497354497355,0,68
1,69,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,105.16896551724138,992.7,0,69
1,70,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,24.057692307692307,994.5884615384615,0,70
1,71,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1820.3389830508474,996.5819209039548,0,71
1,72,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1458.8315217391305,1003.6521739130435,0,72
1,73,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,177.10933333333332,1018.4773333333334,0,73
1,74,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,716.7947658402204,1005.7341597796143,0,74
1,75,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,525.7932692307693,1001.5336538461538,0,75
1,76,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,835.6936813186813,1031.1291208791208,0,76
1,77,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,343.34526315789475,1023.6421052631579,0,77
1,78,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,276.6542056074766,1041.0140186915887,0,78
1,79,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1759.2699115044247,1057.225663716814,0,79
1,80,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1238.376582278481,1059.126582278481,0,80
