ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_TILENR,Metadata_T_NUMBER,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
6,18,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1397.9914996964178,1829.4074074074074,0,18
6,19,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,212.10522788203752,1885.2791554959786,0,19
6,20,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1737.6022624887376,1900.5038542396637,0,20
6,21,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,48.361785714285716,1949.3042857142857,0,21
6,22,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1867.6601101494887,1979.2766850249147,0,22
6,23,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,873.1112178717271,1981.7581071342781,0,23
7,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,829.0211131093317,1219.2432221157844,0,1
7,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1895.442214532872,631.053633217993,0,2
7,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,423.4851536276788,663.0250451846114,0,3
7,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1908.3106288929073,735.6242716495881,0,4
7,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1725.2768166089966,836.1146193771626,0,5
7,6,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1505.602172437203,864.2073998642227,0,6
7,7,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1142.4130787977253,856.6864337936637,0,7
7,8,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1440.187476979742,945.0467771639043,0,8
7,9,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1715.6595469255662,970.8297734627831,0,9
7,10,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1601.2096185064936,1076.9675324675325,0,10
7,11,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1648.3033298647242,1039.6945889698231,0,11
7,12,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,340.4939879759519,1104.991482965932,0,12
7,13,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1686.6678192715538,1183.9045643153527,0,13
7,14,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,380.47668754349337,1146.929018789144,0,14
7,15,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,375.108203125,1194.515625,0,15
7,16,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,746.6397807361002,1183.5779169929522,0,16
7,17,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,231.82694848084543,1272.321003963012,0,17
7,18,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1693.0625386996903,1356.4922600619195,0,18
7,19,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1609.7041942604856,1373.429727740986,0,19
